web-scraper-order,web-scraper-start-url,Детальная страница,Детальная страница-href,name,price,property--type,property--value,packaging--type,packaging--value,image
"1700425348-1","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Страна производитель","Россия","","",""
"1700425348-2","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Материал","МДФ","","",""
"1700425348-3","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Светлота цвета","Светлый","","",""
"1700425348-4","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Покрытие","Под покраску","","",""
"1700425348-5","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Блеск","Полуматовый","","",""
"1700425348-6","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Поверхность на ощупь","Гладкая","","",""
"1700425348-7","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Форма плинтуса","Прямой","","",""
"1700425348-8","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Гибкость","Нет","","",""
"1700425348-9","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Кабель канал","Нет","","",""
"1700425348-10","https://eparket.com/plintus/likorn","Код товара: 328854
        Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12от 277 ₽/м.п.","https://eparket.com/plintus/likorn/mdf/pryamoj/k-27-70-12-2050-70-12","Вставка МДФ в скрытый плинтус под покраску Ликорн K-27.70.12 2050×70×12","277 ₽ / м.п.","Тип монтажа","Клей","","",""
